season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,15357,17,19,7,0,12,0,19
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,28000,18,16,9,0,6,0,15
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,16032,19,18,8,0,6,0,14
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,30552,20,13,10,0,0,0,10
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,20247,21,21,7,0,0,0,7
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,24654,22,22,6,0,0,0,6
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,28221,23,23,5,0,0,0,5
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,12075,24,,,0,0,0,0
2025,USMIHOQ,Houghton (UP) Qualifier,25,39,17286,25,,,0,0,0,0
2025,USMIHOQ2,Hartland Qualifier,35,55,21914,1,12,11,17,60,20,108
2025,USMIHOQ2,Hartland Qualifier,35,55,23623,2,1,16,20,12,40,88
2025,USMIHOQ2,Hartland Qualifier,35,55,8533,3,2,15,20,6,40,81
2025,USMIHOQ2,Hartland Qualifier,35,55,20159,4,17,10,15,30,10,65
2025,USMIHOQ2,Hartland Qualifier,35,55,8492,5,7,13,17,0,20,50
2025,USMIHOQ2,Hartland Qualifier,35,55,10538,6,3,15,19,12,0,46
2025,USMIHOQ2,Hartland Qualifier,35,55,10136,7,8,12,16,12,5,45
2025,USMIHOQ2,Hartland Qualifier,35,55,28804,8,6,13,18,12,0,43
2025,USMIHOQ2,Hartland Qualifier,35,55,14739,9,4,14,19,6,0,39
2025,USMIHOQ2,Hartland Qualifier,35,55,15358,10,5,14,18,6,0,38
2025,USMIHOQ2,Hartland Qualifier,35,55,10645,11,9,12,15,0,10,37
2025,USMIHOQ2,Hartland Qualifier,35,55,7643,12,21,9,16,0,5,30
2025,USMIHOQ2,Hartland Qualifier,35,55,23834,13,13,11,0,12,0,23
2025,USMIHOQ2,Hartland Qualifier,35,55,13643,14,29,7,0,15,0,22
2025,USMIHOQ2,Hartland Qualifier,35,55,15182,15,15,10,0,12,0,22
2025,USMIHOQ2,Hartland Qualifier,35,55,20332,16,25,8,0,12,0,20
2025,USMIHOQ2,Hartland Qualifier,35,55,19561,17,30,6,0,12,0,18
2025,USMIHOQ2,Hartland Qualifier,35,55,16668,18,19,9,0,6,0,15
2025,USMIHOQ2,Hartland Qualifier,35,55,23168,19,20,9,0,6,0,15
2025,USMIHOQ2,Hartland Qualifier,35,55,30837,20,27,7,0,6,0,13
2025,USMIHOQ2,Hartland Qualifier,35,55,27191,21,10,12,0,0,0,12
2025,USMIHOQ2,Hartland Qualifier,35,55,23416,22,32,5,0,6,0,11
2025,USMIHOQ2,Hartland Qualifier,35,55,17993,23,11,11,0,0,0,11
2025,USMIHOQ2,Hartland Qualifier,35,55,31875,24,14,11,0,0,0,11
2025,USMIHOQ2,Hartland Qualifier,35,55,27242,25,16,10,0,0,0,10
2025,USMIHOQ2,Hartland Qualifier,35,55,31261,26,18,10,0,0,0,10
2025,USMIHOQ2,Hartland Qualifier,35,55,31124,27,22,9,0,0,0,9
2025,USMIHOQ2,Hartland Qualifier,35,55,7031,28,26,8,0,0,0,8
2025,USMIHOQ2,Hartland Qualifier,35,55,10164,29,24,8,0,0,0,8
2025,USMIHOQ2,Hartland Qualifier,35,55,15256,30,23,8,0,0,0,8
2025,USMIHOQ2,Hartland Qualifier,35,55,15078,31,28,7,0,0,0,7
2025,USMIHOQ2,Hartland Qualifier,35,55,12548,32,31,6,0,0,0,6
2025,USMIHOQ2,Hartland Qualifier,35,55,8487,33,33,5,0,0,0,5
2025,USMIHOQ2,Hartland Qualifier,35,55,7043,34,34,4,0,0,0,4
